URL,Title,Date,Location,About
https://www.eventbrite.com/e/sage-sound-tequila-tasting-experience-tickets-1100093141199?aff=ebdssbdestsearch,Sage & Sound: Tequila Tasting Experience,"Saturday, January 25 · 7 - 9pm EST. Doors at 6:55pm",Manchester Flats Loft17@CEO,"Sage & Sound: Tequila Tasting Experience Join Richmond-based singer Kenaije for Sage & Sound—a unique evening blending sound healing, tequila, and mindful connection. Experience relaxation, ancestral energy, and a fresh take on sound baths and intentional drinking"
https://www.eventbrite.com/e/tapas-tastings-presented-by-constellation-brands-tickets-1116703513269?aff=ebdssbdestsearch,Tapas & Tastings Presented by Constellation Brands,"Friday, January 31 · 5:30 - 7pm EST",Batavia Downs - Grandstands Banquet Room,"HOTEL DEAL:  https://reservations.travelclick.com/99615?ProdID=747629&LanguageID=1 Our second annual Tapas & Tastings Presented by Constellation Brands will be held inside the Genesee Room at Batavia Downs Gaming & Hotel on Friday, January 31st at 5:30 PM! General Admission is $60, and will feature a spectrum of spirits like: The Prisoner Wine (assorted flavors) Mi Campo Tequila Casa Noble Tequila High West Bourbon ...and more! Menu: First Course Asparagus & Mozzarella wrapped in Prosciutto with Italian Dressing drizzle Chardonnay Second Course Fresh Greens topped with strawberry, mandarin oranges, & almonds with raspberry vinegarette Pinot Noir Third Course Filet with Sundried Tomato and Spinach Demi over Polenta Red Blend Fourth Course Chocolate Lava Cake with whipped topping Cabernet Sauvignon Sip and enjoy these delectable beverages, and then enjoy a scrumptious four-course meal alongside a presentation by The Prisoner Wine, straight out of Napa Valley, exploring different pairings to go alongside their various flavors. All of this brought to you by our friends at Constellation Brands. Seating is limited, so be sure to purchase your tickets today!"
https://www.eventbrite.com/e/wisdom-mocktails-tickets-1143022413809?aff=ebdssbdestsearch,Wisdom & Mocktails,"Saturday, January 25 · 12 - 1:30pm EST",670 Rhode Island Avenue Northeast,"The Alegria Bar Team is excited to co-host this amazing workshop with Empress Zella Taj, Founder of Neteru Apothecary. Her work bridges a Western science lens with Indigenous ancestral wisdom to offer a truly holistic approach to community healing. 🍹  Craft Two Exquisite Mocktails: 🔆Energizing Mocktail:  Hibiscus, cardamom, lemon & chia seeds for a refreshing boost. 💖Heart Harmony Elixir:  Cacao, coconut & cardamom to soothe and center. 🥑 enjoy a complimentary appetizer by Taqueria Habanero These medicines are an invitation to reconnect with our plant kin, remember our sacred duty as Earth’s stewards, and align ourselves with the natural rhythms of life. Start your new year off right by learning how to craft healing cocktails great for the body and mind!"
https://www.eventbrite.com/e/cacao-ceremony-medicine-music-journey-tickets-1141476479879?aff=ebdssbdestsearch,Cacao Ceremony & Medicine Music Journey,"Thursday, January 30 · 7 - 10pm EST. Doors at 1:30pm",St. Luke's Church on the Avenue,"✨ Cacao Ceremony Led by experienced medicine women  Jazz LeiAmora  and  Esmeralda Gómez Saavedra , this sacred cacao ceremony draws from ancient Mayan and Aztec traditions. Cacao, known as the ""Food of the Gods,"" is revered for its ability to open the heart, foster creativity, and deepen emotional connection. As we gather in this ceremonial space, we will honor the spirit of cacao, using it as a gentle guide for reflection, clarity, and connection. The ritual will invite you to meditate, release what no longer serves you, and open your heart to the new possibilities the year holds. 🎶 Live Music Let the healing melodies of  Esmeralda Gómez Saavedra ,  Tupac   Saavedra , and  Jazz LeiAmora  transport you to a place of deep connection and renewal. Their music, rooted in ancient traditions and infused with soul, will weave a tapestry of sound that uplifts and heals. Our live medicine music invites participation—whether through singing, listening, or simply feeling the vibrations—and is a reminder of the power of communal connection and shared intention. 🌑 New Moon & Chinese New Year Energy The New Moon is a time of introspection and renewal, offering us a blank canvas to set intentions and manifest our dreams. Paired with the energy of the Chinese, or Lunar New Year, this ceremony is a unique opportunity to align with the cosmos and create a new chapter. We will share insight into the power of the year of the Wood Snake, and its invitation into renewal, transformation, wisdom, and continuous growth. Through meditation and reflection, we will harness this potent energy to let go of the past, center ourselves in the present, and plant seeds for the future. This is a sacred time to align our inner world with the cycles of nature, fostering balance and harmony within. 🔔 Harmony Works Sound Bath and Gong Journey We will close the evening with a transformative sound bath led by  The Harmony Works Team , featuring the deep, resonant tones of our deluxe multi-Gong set up. This powerful sound healing practice allows for deep relaxation, insight, and energetic alignment. The vibrations will help integrate the intentions set during the ceremony, leaving you in a state of profound peace and clarity. Jazz LeiAmora  is a distinguished sound healer, multi-instrumentalist and singer/songwriter known for her genre, Sacred Soul Medicine Music, which fuses soul, R&B, reggae, and more. Her enchanting voice creates a captivating, inspiring and meditative experience. Her debut album, “Om Pachamama,” is available on all streaming platforms and was featured in MAPS Bulletin, 2024 edition. Based in Santa Cruz, Jazz has been devoted to the medicine path for 10+ years, dedicating significant time to collaborating with and supporting native communities from South America.Esmeralda Gómez Saavedra's Bio: Esmeralda Gómez Saavedra  is an expressive arts therapist, certified somatic ecotherapist, moon dancer, singer, and proud mother of two. She integrates art, ritual, and nature-based practices to help individuals navigate life transitions, mental health challenges, and the integration of expanded states of consciousness. For nearly two decades, Esmeralda has been rooted in traditional Mexican medicine, energy healing, and Earth-based practices. Her work honors ancestral wisdom while fostering personal and collective healing. She has facilitated expressive arts workshops, Moon circles, and plant medicine ceremonies, creating transformative spaces for connection, growth, and renewal. Tupac   Saavedra  is a Bolivian filmmaker, activist, and musician, regarded as a gifted healer since a young age. He leads transformative ceremonies that blend deep-rooted traditions with modern insights, fostering healing and spiritual growth. His diverse passions—from storytelling to music, martial arts, and hosting retreats—reflect his dedication to connection, community, and personal transformation. A UC Berkeley graduate and senior producer at Al Jazeera, Tupac has earned prestigious accolades, including the Pulitzer Prize, Emmy, and Peabody Awards for his work with Bisan Owda on Gaza stories, as well as a Telly Award for a series on the US-Mexico Border and Brazilian elections. With a career spanning the globe, Tupac remains committed to amplifying underrepresented voices and fostering positive change."
https://www.eventbrite.com/e/lunazul-tequila-tasting-experience-tickets-1143049324299?aff=ebdssbdestsearch,Lunazul Tequila Tasting Experience,"Wednesday, January 29 · 6:30 - 8:30pm EST",Desperados Cantina,"Sip, Savor, and Learn at Desperados Cantina! Join us on January 29th from 6:30 to 8:30 PM for another unforgettable tequila tasting experience, featuring  Lunazul Tequila ! This one’s for tequila lovers and curious sippers alike, offering a journey through Lunazul’s rich heritage and unique aging process. What’s included in your $25 ticket? A  welcome cocktail  to kick off the night Access to our  signature salsa bar A guided tasting flight featuring Lunazul Reposado, Añejo, and the rare Double Barrel Reposado aged in Rittenhouse Rye barrels Whether you're a seasoned tequila enthusiast or just want to learn more about this spirit, this educational evening will leave your taste buds happy and your agave knowledge upgraded. Spots are limited, so don’t wait—reserve your seat today! Must be 21+ to attend. Drink responsibly. Let’s raise a glass (or three) to great tequila!"
https://www.eventbrite.com/e/heart-opening-cacao-ceremony-with-dalila-tickets-1119111315069?aff=ebdssbdestsearch,Heart-Opening Cacao Ceremony with Dalila,"Saturday, January 25 · 6:30 - 7:30pm CST. Doors at 6pm",Moksha Yoga Center,"We are excited to invite you to a transformative  Heart-Opening Cacao Ceremony —a sacred space to connect with your inner self, the energy of community, and the heart of cacao, a plant medicine known for its ability to open and heal the heart. During this ceremony, we will gently sip on ceremonial-grade cacao, an ancient heart-opening medicine used by indigenous cultures for centuries. As we gather together in circle, we will engage in ear needling, oracle cards, guided meditation, and sound bath to deepen our connection with ourselves and others. This sacred space is open to all—whether you are new to cacao ceremonies or have attended before, everyone is welcome to experience the magic of this heart-centered practice."
https://www.eventbrite.com/e/partida-tequila-masterclass-tasting-tickets-1116862227989?aff=ebdssbdestsearch,Partida Tequila Masterclass + Tasting,"Tuesday, January 21 · 6 - 8pm CST",Avenida Brazil Brazilian Steakhouse by Sal e Brasa,"🍹✨ Elevate Your Spirits: Partida Tequila Masterclass & Tasting Experience ✨🍹 Embark on a flavorful journey through the world of premium tequila with our interactive Partida Tequila Masterclass and Tasting Experience on Tuesday, January 21st at 6:00pm! This isn't just a tasting; it's an immersive adventure that will tantalize your taste buds and ignite your passion for Mexico's finest spirit. What's Included: 🥃 Expert-guided tasting of Partida Tequila's exquisite portfolio: Blanco, Reposado, Añejo, Cristalino 🍸 Cocktail Experience: Start your evening with a specially crafted welcome drink upon arrival + create your own finishing cocktail under the guidance of our master mixologists. 💰Masterclass & Tasting Experience: $55 per person Exclusive Dinner Offer: Extend your evening of flavor with our signature menu, available at a special discounted price of $43 for class attendees. Don't miss this opportunity to expand your tequila horizons, craft delicious cocktails, and immerse yourself in the rich culture of Mexican spirits. Whether you're a tequila aficionado or a curious beginner, this experience promises to be an unforgettable journey for your senses. Space is limited, so reserve your spot now and prepare to sip, savor, and celebrate the art of fine tequila using this link:https://www.opentable.com/booking/experiences-availability?rid=1351615&restref=1351615&experienceId=393192&utm_source=external&utm_medium=referral&utm_campaign=shared"
https://www.eventbrite.com/e/sacred-intentions-2025cacao-ceremony-ceremonial-concert-tickets-1136817625119?aff=ebdssbdestsearch,Sacred intentions 2025:Cacao ceremony & ceremonial concert,"Wednesday, January 22 · 7 - 9:30pm EST",Gospel,"Join us for a special  Cacao ceremony & ceremonial concert , a night of warmth and celebration where friends gather as family. Beneath the gentle glow of evening, we come together to honor the bonds that unite us, inviting the sacred medicine of cacao to open our hearts and deepen our connections. We assemble together to listen to and connect with our hearts; embracing the gift of the present moment while we weave a tapestry of shared love, connection, and presence. Through the rich, earthy spirit of cacao, we enter a space of openness and tenderness, allowing this medicine's gentle guidance to melt away boundaries and bring us closer together. Let each sip be a reminder of the love that surrounds us, the friendships that uplift us, and the family we find in each other. Together, we create a circle of belonging—a family woven with threads of compassion, joy, and gratitude. * All tickets are non-refundable*"
https://www.eventbrite.com/e/jolt-cacao-ceremony-and-sound-healing-tickets-1145041232149?aff=ebdssbdestsearch,Jolt Cacao Ceremony and Sound Healing,"Saturday, January 25 · 7 - 9pm EST",Retreat House,"✨  Sacred Sound & Cacao Journey  ✨ Step into a heart-centered evening of connection, relaxation, and transformation as we blend the ancient rituals of a  Cacao Ceremony  with the immersive power of  Sound Healing . 🌿  Cacao Ceremony Begin your journey with a cup of ceremonial-grade cacao, a sacred plant medicine known for opening the heart and deepening connection to self and others. Together, we'll set intentions, share in community, and experience the gentle yet profound energy of cacao as it nourishes the body and spirit. 🎶  Sound Healing Experience Following the ceremony, let waves of healing sound wash over you. Using a harmonious blend of instruments, including crystal singing bowls, gongs, chimes, and drums, the sound healing session will guide you into a state of deep relaxation and inner peace. This soundscape is designed to release blockages, align your energy, and connect you to your inner wisdom. 🌟  What to Expect: A warm and welcoming environment Guided meditation and intention setting Connection with community in a sacred space Heart-opening cacao to support your journey A transformative sound bath experience Bring a yoga mat, blanket, and anything that makes you feel cozy and supported. Let this evening be an opportunity to reset, recharge, and reconnect with yourself in the most nurturing way. Reserve your spot today and join us for an unforgettable journey into sound and soul. 🌈  Spaces are limited—secure yours now!  🌟"
https://www.eventbrite.com/e/mag-esai-manny-soneffs-mikakuika-indigenous-psychedelic-chicano-indie-tickets-1126856932419?aff=ebdssbdestsearch,"Mag Esai, Manny, Soneffs, Mikakuika - Indigenous Psychedelic, Chicano Indie","Saturday, January 25 · 8 - 11pm MST. Doors at 7pm",D3 Arts,"Mag Esai, Manny, Soneffs, Mikakuika - Indigenous Psychedelic, Chicano Indie Come groove with us at  D3 Arts  for a night with Indigenous Psychedelic, Chicano Indie, grunge and pre-hispanic Native vibes! Mag Esai, Manny, Soneffs, and Kalpulli Mikakuika will be bringing their unique sounds to the stage for an unforgettable in-person event. Get ready to experience a fusion of time and genres that will have you dancing all night long. Don't miss out on this one-of-a-kind musical journey!"
