Title,URL,Date,Location,Price
Sage & Sound: Tequila Tasting Experience,https://www.eventbrite.com/e/sage-sound-tequila-tasting-experience-tickets-1100093141199?aff=ebdssbdestsearch,Saturday • 7:00 PM,Manchester Flats Loft17@CEO,From $75.00
Tapas & Tastings Presented by Constellation Brands,https://www.eventbrite.com/e/tapas-tastings-presented-by-constellation-brands-tickets-1116703513269?aff=ebdssbdestsearch,"Fri, Jan 31 •  5:30 PM",Batavia Downs - Grandstands Banquet Room,From $66.32
Wisdom & Mocktails,https://www.eventbrite.com/e/wisdom-mocktails-tickets-1143022413809?aff=ebdssbdestsearch,Sales end soon,670 Rhode Island Avenue Northeast,From $35.00
Cacao Ceremony & Medicine Music Journey,https://www.eventbrite.com/e/cacao-ceremony-medicine-music-journey-tickets-1141476479879?aff=ebdssbdestsearch,"Thu, Jan 30 •  7:00 PM",St. Luke's Church on the Avenue,From $43.63
Lunazul Tequila Tasting Experience,https://www.eventbrite.com/e/lunazul-tequila-tasting-experience-tickets-1143049324299?aff=ebdssbdestsearch,Almost full,Desperados Cantina,From $25.00
Heart-Opening Cacao Ceremony with Dalila,https://www.eventbrite.com/e/heart-opening-cacao-ceremony-with-dalila-tickets-1119111315069?aff=ebdssbdestsearch,Going fast,Moksha Yoga Center,From $45.00
Partida Tequila Masterclass + Tasting,https://www.eventbrite.com/e/partida-tequila-masterclass-tasting-tickets-1116862227989?aff=ebdssbdestsearch,Sales end soon,Avenida Brazil Brazilian Steakhouse by Sal e Brasa,From $55.00
Sacred intentions 2025:Cacao ceremony & ceremonial concert,https://www.eventbrite.com/e/sacred-intentions-2025cacao-ceremony-ceremonial-concert-tickets-1136817625119?aff=ebdssbdestsearch,Going fast,Gospel,From $61.45
Jolt Cacao Ceremony and Sound Healing,https://www.eventbrite.com/e/jolt-cacao-ceremony-and-sound-healing-tickets-1145041232149?aff=ebdssbdestsearch,Saturday • 7:00 PM,Retreat House,From $58.93
"Mag Esai, Manny, Soneffs, Mikakuika - Indigenous Psychedelic, Chicano Indie",https://www.eventbrite.com/e/mag-esai-manny-soneffs-mikakuika-indigenous-psychedelic-chicano-indie-tickets-1126856932419?aff=ebdssbdestsearch,Sales end soon,D3 Arts,Check ticket price on event
Teremana  Tequila Mixology Class - Cadillac Bar,https://www.eventbrite.com/e/teremana-tequila-mixology-class-cadillac-bar-tickets-1087070971539?aff=ebdssbdestsearch,Almost full,Cadillac Bar,From $50.00
Savor Stretch Reset,https://www.eventbrite.com/e/savor-stretch-reset-tickets-1118347871589?aff=ebdssbdestsearch,Sunday • 1:00 PM,The SweatBox Yoga,From $75.00
Lunar New Year Cacao Ceremony & Sound Bath,https://www.eventbrite.com/e/lunar-new-year-cacao-ceremony-sound-bath-tickets-1120972481869?aff=ebdssbdestsearch,Almost full,Moore Than Rocks,From $55.55
Tequlia Tasting,https://www.eventbrite.com/e/tequlia-tasting-tickets-1060941708209?aff=ebdssbdestsearch,Going fast,Wilson Cafe,From $28.00
Alta Joda Fest NYC - Fiesta Latina,https://www.eventbrite.com/e/alta-joda-fest-nyc-fiesta-latina-tickets-1123202883059?aff=ebdssbdestsearch,Sales end soon,Harbor NYC Rooftop,From $0.00
Sip and Stroke,https://www.eventbrite.com/e/sip-and-stroke-tickets-1149600539159?aff=ebdssbdestsearch,Sales end soon,Nothing But Love Wellness Spa,From $45.00
Cacao Ceremony and Sound Bath,https://www.eventbrite.com/e/cacao-ceremony-and-sound-bath-tickets-1026193882527?aff=ebdssbdestsearch,"Fri, Jan 31 •  6:30 PM",Sakala,From $28.52
Mediterranean Mélange:  A Pairing Experience,https://www.eventbrite.com/e/mediterranean-melange-a-pairing-experience-tickets-1134764323639?aff=ebdssbdestsearch,Going fast,The Comus Inn,From $103.75
Cacao Ceremony + Sound Healing Co-Held by Amaru Zitlallinikue & Ana Karina,https://www.eventbrite.com/e/cacao-ceremony-sound-healing-co-held-by-amaru-zitlallinikue-ana-karina-tickets-1149267001539?aff=ebdssbdestsearch,Sales end soon,Neshamah 137,From $84.01
Seasonal Tea Ceremony: Imbolc,https://www.eventbrite.com/e/seasonal-tea-ceremony-imbolc-tickets-1136146768569?aff=ebdssbdestsearch,Sunday • 3:00 PM,Verbena Free Spirited Shoppe,From $49.00
Tequila Tasting and Pairing Dinner,https://www.eventbrite.com/e/tequila-tasting-and-pairing-dinner-tickets-1126832449189?aff=ebdssbdestsearch,Sales end soon,Fenner Hill Country Club,From $135.00
"Paint, Sip, and Smoke",https://www.eventbrite.com/e/paint-sip-and-smoke-tickets-1127151854539?aff=ebdssbdestsearch,"Thu, Jan 30 •  5:00 PM",The Art of Cigar,From $90.00
Women's Cacao & New Moon Ceremony,https://www.eventbrite.com/e/womens-cacao-new-moon-ceremony-tickets-1116672470419?aff=ebdssbdestsearch,"Thu, Jan 30 •  6:30 PM",Mama Flowers Location,From $45.00
Vino and Violin,https://www.eventbrite.com/e/vino-and-violin-tickets-1129963413989?aff=ebdssbdestsearch,Saturday • 3:00 PM,7400 W McNichols Rd,From $30.00
"Cacao Ceremony, Somatic Breath Work and Sound Therapy",https://www.eventbrite.com/e/cacao-ceremony-somatic-breath-work-and-sound-therapy-tickets-1138515563699?aff=ebdssbdestsearch,Sunday • 6:00 PM,Vanessa G. Studios,Check ticket price on event
Personal Power Cacao Ceremony,https://www.eventbrite.com/e/personal-power-cacao-ceremony-tickets-1124744112919?aff=ebdssbdestsearch,Sales end soon,Wyld Magick Center for Holistic Healing,From $35.00
Mushrooms & Cacao Ceremony,https://www.eventbrite.com/e/mushrooms-cacao-ceremony-tickets-1143025001549?aff=ebdssbdestsearch,Sales end soon,60500 Aberdeen Dr,From $475.62
Sound Healing Journey with Ceremonial Cacao,https://www.eventbrite.com/e/sound-healing-journey-with-ceremonial-cacao-tickets-1117196969209?aff=ebdssbdestsearch,Sales end soon,1545 S Pearl St,From $44.52
Sound Healing and Chocolate Cacao Ceremony: Chinese New Year,https://www.eventbrite.com/e/sound-healing-and-chocolate-cacao-ceremony-chinese-new-year-tickets-1145168873929?aff=ebdssbdestsearch,"Wed, Jan 29 •  6:00 PM",Indigeny Reserve Event Center (Brown House),From $55.20
The Divine Comedy II: THE RED THREAD feat Hajime Kinoko,https://www.eventbrite.com/e/the-divine-comedy-ii-the-red-thread-feat-hajime-kinoko-tickets-1105021552209?aff=ebdssbdestsearch,"Fri, Jan 31 •  6:00 PM",The Soap Factory,From $55.20
Cacao from the Heart of the World: Calling in Love,https://www.eventbrite.com/e/cacao-from-the-heart-of-the-world-calling-in-love-tickets-1141113684749?aff=ebdssbdestsearch,"Fri, Jan 31 •  7:30 PM",Breath+Oneness Yoga,From $39.19
"A Mini Sober Medicine Journey with Tea, Sound & Conscious Channeling",https://www.eventbrite.com/e/a-mini-sober-medicine-journey-with-tea-sound-conscious-channeling-tickets-1141688804949?aff=ebdssbdestsearch,Tomorrow • 6:30 PM,Water & Stone Experience,Check ticket price on event
"New Moon, New Vibes: The Year of the Snake",https://www.eventbrite.com/e/new-moon-new-vibes-the-year-of-the-snake-tickets-1141277785579?aff=ebdssbdestsearch,"Fri, Jan 31 •  7:00 PM",3945 N Academy Blvd,From $39.19
Tequila Tasting & Class: January 21,https://www.eventbrite.com/e/tequila-tasting-class-january-21-tickets-1119111485579?aff=ebdssbdestsearch,Sales end soon,Dahlia Kitchen + Bar,From $65.00
Café con Arte: Cut & Paste | A Solo Exhibit by Ellia Ana Hill,https://www.eventbrite.com/e/cafe-con-arte-cut-paste-a-solo-exhibit-by-ellia-ana-hill-tickets-977439717507?aff=ebdssbdestsearch,Going fast,"Latino Arts, Inc.",From $5.00
"BurlesKARAOKE - You Sing, They Tease!",https://www.eventbrite.com/e/burleskaraoke-you-sing-they-tease-tickets-1106603965249?aff=ebdssbdestsearch,Sales end soon,Queer Bar,From $15.00
The Movement Presents: Vinyasa Ashtanga with Authentic Path Yoga Studios,https://www.eventbrite.com/e/the-movement-presents-vinyasa-ashtanga-with-authentic-path-yoga-studios-tickets-1123107908989?aff=ebdssbdestsearch,Sales end soon,lululemon Newbury,From $35.00
Agave Awakening Ritual,https://www.eventbrite.com/e/agave-awakening-ritual-tickets-1143176414429?aff=ebdssbdestsearch,"Thu, Jan 30 •  6:00 PM  + 1 more",The Westin Kierland Resort & Spa,From $35.00
Taco 'Bout Tequila: A Fiesta of Flavor,https://www.eventbrite.com/e/taco-bout-tequila-a-fiesta-of-flavor-tickets-1145990340959?aff=ebdssbdestsearch,"Fri, Jan 31 •  6:30 PM",The RadDish,From $81.88
Chakra Balancing Sound Journey,https://www.eventbrite.com/e/chakra-balancing-sound-journey-tickets-1119742894139?aff=ebdssbdestsearch,Sunday • 6:00 PM,Curanderas Heart Mindfulness and Wellness Center,From $45.00
New Moon Heartful Cacao Circle - January 31st,https://www.eventbrite.com/e/new-moon-heartful-cacao-circle-january-31st-tickets-1129801579939?aff=ebdssbdestsearch,"Fri, Jan 31 •  7:00 PM",YANA Creativity and Wellness Center,From $50.00
Belgian Chocolates & Wine Pairing,https://www.eventbrite.com/e/belgian-chocolates-wine-pairing-tickets-1119502956479?aff=ebdssbdestsearch,Saturday • 12:00 PM,Aquila's Nest Vineyards,From $39.19
"Sound Healing, Salt cave, Labyrinth, Reiki, Color & Essential oil Therapy",https://www.eventbrite.com/e/sound-healing-salt-cave-labyrinth-reiki-color-essential-oil-therapy-tickets-1095354277129?aff=ebdssbdestsearch,Going fast,The Halo Sanctuary,From $22.00
"ALIGN: Breathwork, Meditation, and Gong Bath",https://www.eventbrite.com/e/align-breathwork-meditation-and-gong-bath-tickets-1133488969019?aff=ebdssbdestsearch,Almost full,Aldea Spiritual Community,From $25.00
"Next Generation Japanese Whisky from Kagoshima's Mellow Coast, Kanosuke!",https://www.eventbrite.com/e/next-generation-japanese-whisky-from-kagoshimas-mellow-coast-kanosuke-tickets-1144120628599?aff=ebdssbdestsearch,"Thu, Jan 30 •  5:30 PM",Moshi Moshi,From $46.65
Cacao Ceremony: A Heart-Opening Experience,https://www.eventbrite.com/e/cacao-ceremony-a-heart-opening-experience-tickets-1133993658559?aff=ebdssbdestsearch,Sales end soon,Yoga with Kendra,From $40.00
Chakra Celebration Ecstatic Dance Experience,https://www.eventbrite.com/e/chakra-celebration-ecstatic-dance-experience-tickets-1123667653199?aff=ebdssbdestsearch,Almost full,Cincinnati Yoga School,From $2.50
Charcuterie Board & Bourbon Tasting Workshop,https://www.eventbrite.com/e/charcuterie-board-bourbon-tasting-workshop-tickets-1106421710119?aff=ebdssbdestsearch,Sales end soon,"Blacksmith Shop, Poplar Street, Macon, GA, USA",From $60.00
Alpine Aura Paint and Sip,https://www.eventbrite.com/e/alpine-aura-paint-and-sip-tickets-1117300709499?aff=ebdssbdestsearch,Going fast,Saved by the Wine,From $49.87
An Evening with Winemaker Tom Meadowcroft: A Taste of Sonoma and Napa,https://www.eventbrite.com/e/an-evening-with-winemaker-tom-meadowcroft-a-taste-of-sonoma-and-napa-tickets-1142954941999?aff=ebdssbdestsearch,Sales end soon,WineNot Boutique,From $40.00
Yoga & Intuition,https://www.eventbrite.com/e/yoga-intuition-tickets-1077638127649?aff=ebdssbdestsearch,Sales end soon,The Energy Barre,From $45.00
Fabric mushroom sculpture,https://www.eventbrite.com/e/fabric-mushroom-sculpture-tickets-1126419343579?aff=ebdssbdestsearch,Sales end soon,FAVO,From $85.00
Código 1530  Tequila Barrel Launch Party at Paséa,https://www.eventbrite.com/e/codigo-1530-tequila-barrel-launch-party-at-pasea-tickets-1119451181619?aff=ebdssbdestsearch,"Thu, Jan 30 •  6:00 PM",Lōrea,From $49.87
Artvana Sip and paint art class at Cafe Elite in Lacey!,https://www.eventbrite.com/e/artvana-sip-and-paint-art-class-at-cafe-elite-in-lacey-tickets-1102526960819?aff=ebdssbdestsearch,Sales end soon,Cafe Elite,From $0.00
Explore Campania: A Blind Taste of Italy,https://www.eventbrite.com/e/explore-campania-a-blind-taste-of-italy-tickets-1106826149809?aff=ebdssbdestsearch,Going fast,Enoteca LIC,From $55.20
Sacred Cacao Ceremony Facilitated by Amaru Zitlallinikue,https://www.eventbrite.com/e/sacred-cacao-ceremony-facilitated-by-amaru-zitlallinikue-tickets-1149079280059?aff=ebdssbdestsearch,Sales end soon,Hai House,From $60.54
Aperitivo Italiano: A Taste of Sicily & Campania,https://www.eventbrite.com/e/aperitivo-italiano-a-taste-of-sicily-campania-tickets-1106505059419?aff=ebdssbdestsearch,"Tue, Jan 28 •  7:00 PM",The Italian Cultural and Community Center,From $30.00
Afternoon Art Demo with Sergio Lopez,https://www.eventbrite.com/e/afternoon-art-demo-with-sergio-lopez-tickets-1146536073259?aff=ebdssbdestsearch,Sales end soon,Reichwage Winery,From $12.51
Comomango's Tequila Tasting,https://www.eventbrite.com/e/comomangos-tequila-tasting-tickets-1118029238549?aff=ebdssbdestsearch,"Thu, Jan 30 •  6:30 PM",52 Wall St,From $60.00
Un Inicio de Año con Propósito Taller de Yoga para el Nuevo Año 01/22 6:30p,https://www.eventbrite.com/e/un-inicio-de-ano-con-proposito-taller-de-yoga-para-el-nuevo-ano-0122-630p-tickets-1120191104749?aff=ebdssbdestsearch,Sales end soon,"8100 SW 81 DRIVE SUITE 275 MIAMI, FL 33143",From $45.00
